"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.045500092E-3,-1.985770569E0,1.057401123E0,1.006267456E1,1.031110087E1
1.207750000E-2,-2.106868744E0,9.469308472E-1,1.018631744E1,1.044493356E1
2.210850001E-2,-2.415826263E0,1.076261902E0,1.019949005E1,1.053679997E1
3.214050003E-2,-2.916535034E0,1.267264709E0,9.858948212E0,1.035910210E1
4.217250005E-2,-3.400478668E0,1.299298096E0,9.248667297E0,9.939279526E0
5.220350006E-2,-3.654350739E0,1.214873657E0,8.822802887E0,9.626632231E0
6.223550008E-2,-3.617677002E0,1.148112488E0,8.606951752E0,9.406666127E0
7.226749999E-2,-3.271596680E0,1.166973267E0,8.447084198E0,9.133367555E0
8.229950001E-2,-2.923121338E0,1.117875366E0,8.187823334E0,8.765542461E0
9.233050002E-2,-2.714006195E0,1.071322174E0,7.984845428E0,8.501253869E0
1.023625000E-1,-2.558629303E0,1.107546844E0,7.897127838E0,8.374835641E0
1.123945001E-1,-2.541564789E0,1.143921204E0,7.892936554E0,8.370576727E0
1.224265001E-1,-2.604284363E0,1.117426300E0,8.014184418E0,8.500475896E0
1.324575001E-1,-2.592458954E0,1.052760773E0,8.419691162E0,8.872448813E0
1.424895000E-1,-2.615061951E0,9.753717041E-1,8.805289307E0,9.237045996E0
1.525215000E-1,-2.843337250E0,9.436376953E-1,9.134454803E0,9.613182791E0
1.625535000E-1,-3.030148773E0,1.023272095E0,9.289083252E0,9.824253408E0
1.725845000E-1,-3.035088501E0,1.182391205E0,9.194929047E0,9.754820928E0
1.826162500E-1,-2.982847137E0,1.317260742E0,8.903335419E0,9.481663065E0
1.926482500E-1,-2.822081451E0,1.365310822E0,8.506959686E0,9.066232981E0
2.026792500E-1,-2.655477905E0,1.325792999E0,8.201145630E0,8.721701647E0
2.127112501E-1,-2.512076111E0,1.304836578E0,8.038733368E0,8.522579366E0
2.227432501E-1,-2.448009338E0,1.398990784E0,7.978558502E0,8.462110890E0
2.327752500E-1,-2.628533936E0,1.531465302E0,8.045768738E0,8.601684207E0
2.428062500E-1,-2.861150208E0,1.487307129E0,8.143814850E0,8.758994424E0
2.528382500E-1,-2.985541534E0,1.351838837E0,8.160579987E0,8.794088481E0
2.628702500E-1,-3.007845154E0,1.376387787E0,8.188122711E0,8.831020855E0
2.729022501E-1,-3.561244354E0,1.570534058E0,8.343499603E0,9.206683670E0
2.829332501E-1,-4.244124298E0,1.509910126E0,7.671696625E0,8.896479570E0
2.929652501E-1,-4.224365387E0,1.722168732E0,6.920708313E0,8.288988576E0
3.029972500E-1,-3.905678101E0,2.043251038E0,6.789281616E0,8.094661271E0
3.130292500E-1,-3.763473816E0,1.920356598E0,6.748416595E0,7.961948956E0
3.230602500E-1,-3.773203583E0,1.598076782E0,6.456373901E0,7.646939168E0
3.330922500E-1,-4.029171295E0,1.663790131E0,6.297404480E0,7.658963514E0
3.431242501E-1,-3.533851318E0,1.387614441E0,6.052962799E0,7.145063864E0
3.531552501E-1,-2.690654755E0,1.304836578E0,5.841452637E0,6.562376887E0
3.631872500E-1,-1.564247131E0,1.429078217E0,5.856870575E0,6.228327751E0
3.732192500E-1,-8.430468750E-1,1.476679230E0,6.225853271E0,6.453879340E0
3.832512500E-1,-4.011657715E-1,1.325942688E0,6.464606781E0,6.611368907E0
3.932822500E-1,-1.202000427E-1,1.103205872E0,5.948031006E0,6.050668070E0
4.033142501E-1,2.844085693E-1,8.975335693E-1,5.195845184E0,5.280460389E0
4.133462501E-1,1.012494507E0,8.795709229E-1,4.672982483E0,4.861641227E0
4.233782500E-1,1.880240021E0,9.437873840E-1,5.010829926E0,5.434561041E0
